id,followers_count,following_count,tweet_count,listed_count,time_to_now,has_profile_photo,protected,verified,name_length,label,spilt
u904994826,1059,2218,11821,0,3662,TRUE,FALSE,FALSE,18,human,train
u90420314,27102289,137,2987,58337,4737,TRUE,FALSE,TRUE,19,human,train
u90241355,1226,1362,32270,28,4738,TRUE,FALSE,FALSE,12,human,train
u900045860,205494,4915,60342,1387,3665,TRUE,FALSE,TRUE,13,human,train
u89934622,1126,837,43415,2,4739,TRUE,FALSE,FALSE,8,bot,train
u897377572669009920,19,39,16,2,1908,TRUE,FALSE,FALSE,7,human,train
u896533819,20220,9807,22328,11,3666,TRUE,FALSE,FALSE,20,human,train
u89414175,1023,1025,127444,89,4741,TRUE,FALSE,FALSE,2,bot,train
u893663299,1016,568,29421,1,3668,TRUE,FALSE,FALSE,1,human,train
u893613222,786,1118,54223,2,3668,TRUE,FALSE,FALSE,4,bot,train
u892501717,93138,3477,62404,291,3668,TRUE,FALSE,FALSE,14,bot,train
u88950376,107129,1167,43832,1276,4743,TRUE,FALSE,TRUE,19,human,train
u885179286,958,2315,4493,1,3672,TRUE,FALSE,FALSE,5,human,train
u885003066,37043,23846,47304,97,3672,TRUE,FALSE,FALSE,15,human,train
u884092539418152960,915,1015,6702,0,1945,TRUE,FALSE,FALSE,13,human,train
u883096392297828352,107,223,5,0,1948,TRUE,FALSE,FALSE,14,human,train
u881269350,2073,2103,32108,11,3673,TRUE,FALSE,FALSE,18,human,train
u878447185,82557,96674,21782,54,3675,TRUE,FALSE,FALSE,11,human,train
u87390266,926,428,38270,4,4749,TRUE,FALSE,FALSE,15,human,train
u87307603,1000,904,23400,71,4750,TRUE,FALSE,FALSE,6,bot,train
u872978711116746752,225,383,1179,0,1975,TRUE,FALSE,FALSE,14,bot,train
u872185597,934578,13242,13942,1321,3678,TRUE,FALSE,TRUE,18,bot,train
u87115541,923,938,84798,35,4750,TRUE,FALSE,FALSE,8,bot,train
u870508495,1307,928,50327,6,3679,TRUE,FALSE,FALSE,4,human,train
u870188413,1340,991,2364,0,3679,TRUE,FALSE,FALSE,8,bot,train
u86864472,100218,13010,41039,151,4751,TRUE,FALSE,FALSE,18,human,train
u866648466,1110,172,70970,7,3681,TRUE,FALSE,FALSE,7,bot,train
u866373247,90027,12,9,85,3681,TRUE,FALSE,FALSE,6,bot,train
u865209535,220029,100,42804,1120,3682,TRUE,FALSE,FALSE,15,bot,train
u863262342,15834,11816,117497,6,3683,TRUE,FALSE,FALSE,14,bot,train
u862884598216130560,862,19,42,0,2003,TRUE,FALSE,FALSE,13,human,train
u86271665,99230,2327,12487,1469,4754,TRUE,FALSE,FALSE,13,human,train
u85989198,911,1851,4848,33,4755,TRUE,FALSE,FALSE,10,bot,train
u859364185,973,379,22433,32,3685,TRUE,FALSE,FALSE,15,human,train
u85603854,43541522,1689,14139,53037,4757,TRUE,FALSE,TRUE,14,human,train
u85537477,1392384,410,405327,1622,4757,TRUE,FALSE,TRUE,4,bot,train
u853171243,1429,1078,22141,5,3689,TRUE,FALSE,FALSE,12,human,train
u849258957768192004,245,5,1,0,2041,TRUE,FALSE,FALSE,6,human,train
u848662740,1032,2214,23384,5,3691,TRUE,FALSE,FALSE,8,human,train
u847113145,96020,93181,55554,29,3692,TRUE,FALSE,FALSE,17,bot,train
u846439395016232960,122,0,1,1,2049,TRUE,FALSE,FALSE,16,human,train
u844779426260791296,369,1,1,7,2053,TRUE,FALSE,FALSE,15,bot,train
u84219696,899817,42,18659,4655,4762,TRUE,FALSE,TRUE,16,human,train
u84195118,1724520,1610,73506,5069,4762,TRUE,FALSE,TRUE,15,human,train
u838509693429559299,1889,0,1938,54,2071,TRUE,FALSE,FALSE,9,human,train
u837075979,864,1713,11375,3,3697,TRUE,FALSE,FALSE,20,human,train
u83701293,159515,4486,47730,858,4765,TRUE,FALSE,TRUE,13,human,train
u83166727,1001946,43,2915,1771,4767,TRUE,FALSE,TRUE,17,human,train
u82789484,578484,809,11846,2129,4768,TRUE,FALSE,TRUE,9,human,train
u826754628,118887,1256,25222,166,3702,TRUE,FALSE,FALSE,19,bot,train
u822903103070601216,7,2,1,0,2114,TRUE,FALSE,FALSE,14,human,train
u822815182393065476,4,2,3,0,2114,TRUE,FALSE,FALSE,3,human,train
u822377750497345536,168,130,7341,2,2115,TRUE,FALSE,FALSE,4,human,train
u82171278,58270,8699,19520,106,4771,TRUE,FALSE,FALSE,26,human,train
u82139514,99513,208,8100,288,4771,TRUE,FALSE,FALSE,17,human,train
u821215184660393986,52,17,14,1,2118,TRUE,FALSE,FALSE,12,bot,train
u819685194,1152248,547,6154,2939,3706,TRUE,FALSE,TRUE,20,human,train
u81856710,984211,8394,47936,2329,4772,TRUE,FALSE,TRUE,13,human,train
u815841475,1614,948,69640,4,3708,TRUE,FALSE,FALSE,2,human,train
u81577367,122743,1831,119491,1187,4773,TRUE,FALSE,FALSE,16,human,train
u815679446,177177,75133,169150,371,3708,TRUE,FALSE,TRUE,17,bot,train
u815002578,1003829,541372,229462,655,3708,TRUE,FALSE,FALSE,14,bot,train
u814121478,31467,2688,72557,498,3708,TRUE,FALSE,FALSE,11,human,train
u811563716,50696,52,7766,28,3710,TRUE,FALSE,FALSE,11,bot,train
u81048495,2252607,44,244002,1569,4775,TRUE,FALSE,TRUE,12,bot,train
u81018959,17463,392,32358,61,4775,TRUE,FALSE,FALSE,16,human,train
u80921539,145058,1414,51926,1141,4776,TRUE,FALSE,FALSE,13,bot,train
u80878133,154071,3383,22990,1429,4776,TRUE,FALSE,TRUE,25,human,train
u808280162,26680,299,113696,59,3711,TRUE,FALSE,FALSE,3,bot,train
u807219840125726721,482,191,377,0,2157,TRUE,FALSE,FALSE,9,bot,train
u807184478,117351,89810,18267,2004,3712,TRUE,FALSE,FALSE,16,bot,train
u807095,42709246,881,347383,198862,5727,TRUE,FALSE,TRUE,18,bot,train
u804835993,104922,104391,11434,42,3713,TRUE,FALSE,FALSE,19,human,train
u80424488,1244,236,102345,22,4778,TRUE,FALSE,FALSE,1,human,train
u80413939,188327,121118,82758,200,4778,TRUE,FALSE,FALSE,16,human,train
u804028724987494402,3,49,98,0,2166,TRUE,FALSE,FALSE,1,human,train
u80094297,1045545,1703,61757,6637,4779,TRUE,FALSE,TRUE,13,human,train
u797755586,1259,841,17715,3,3716,TRUE,FALSE,FALSE,5,human,train
u794376310978060288,7268,7913,4615,7,2192,TRUE,FALSE,FALSE,16,human,train
u793998876,124455,269,76451,260,3718,TRUE,FALSE,TRUE,15,bot,train
u79293791,89223204,1092,10231,103293,4782,TRUE,FALSE,TRUE,7,human,train
u791250175,18404,127,11861,41,3719,TRUE,FALSE,FALSE,12,bot,train
u790680,2090741,906,171379,7342,5734,TRUE,FALSE,TRUE,15,bot,train
u790136510,1503484,735,14964,5665,3720,TRUE,FALSE,TRUE,15,human,train
u790017240733278208,19,48,2,0,2204,TRUE,FALSE,FALSE,17,bot,train
u788792041,174593,351,4263,86,3720,TRUE,FALSE,TRUE,9,human,train
u78687173,1119109,374322,175531,3931,4784,TRUE,FALSE,FALSE,14,bot,train
u784747158922821632,53815,298,26159,22,2219,TRUE,FALSE,FALSE,22,human,train
u782496626451546112,5,0,1,0,2225,TRUE,FALSE,FALSE,4,human,train
u780050,110236,2605,93310,1913,5738,TRUE,FALSE,TRUE,28,human,train
u77920426,233927,1194,31558,1024,4786,TRUE,FALSE,TRUE,16,human,train
u776489862,94354,30961,98042,290,3726,TRUE,FALSE,FALSE,8,bot,train
u773465515,731,199,50050,4,3727,TRUE,FALSE,FALSE,1,human,train
u77237454,997592,585,8456,2071,4789,TRUE,FALSE,TRUE,16,human,train
u771103752,80118,3936,977,77,3728,TRUE,FALSE,FALSE,12,human,train
u771058757434572800,71,1,3,1,2257,TRUE,FALSE,FALSE,9,human,train
u768727279673499648,1083,17,83,3,2263,TRUE,FALSE,FALSE,12,bot,train
u767396,116023,23767,52817,7072,5745,TRUE,FALSE,TRUE,9,human,train
u767184145,139483,5,100651,121,3730,TRUE,FALSE,FALSE,17,bot,train
u76593802,119598,93947,596203,983,4791,TRUE,FALSE,FALSE,18,bot,train
u763419470,1841470,106,16762,844,3732,TRUE,FALSE,TRUE,16,human,train
u76266622,417919,216,80315,179,4792,TRUE,FALSE,TRUE,16,human,train
u762496814,5142,3115,46298,49,3733,TRUE,FALSE,FALSE,18,bot,train
u762126629866971136,3,1,1,0,2281,TRUE,FALSE,FALSE,8,human,train
u76070341,1015728,398,10639,1554,4793,TRUE,FALSE,TRUE,13,human,train
u76041806,138961,2679,19420,355,4793,TRUE,FALSE,TRUE,10,human,train
u759460784,460969,555900,5914,150,3734,TRUE,FALSE,FALSE,4,human,train
u757821654571425792,2,2,1,0,2293,TRUE,FALSE,FALSE,12,human,train
u757309819233701888,18812,19657,12186,34,2295,TRUE,FALSE,FALSE,15,human,train
u75711719,1148,496,111225,10,4794,TRUE,FALSE,FALSE,9,human,train
u75188460,1243,924,260723,47,4796,TRUE,FALSE,FALSE,3,bot,train
u747958680386179072,31,22,1488,1,2320,TRUE,FALSE,FALSE,12,bot,train
u747585390,16561,892,51933,472,3740,TRUE,FALSE,FALSE,15,human,train
u74604641,1396610,159,78947,3192,4798,TRUE,FALSE,FALSE,20,bot,train
u745142076,1454,3909,68698,14,3741,TRUE,FALSE,FALSE,13,bot,train
u742143,24393975,92,289290,112307,5756,TRUE,FALSE,TRUE,16,bot,train
u73954053,1095072,753,17001,1707,4801,TRUE,FALSE,TRUE,12,human,train
u739293,128848,69934,121084,4385,5757,TRUE,FALSE,TRUE,15,human,train
u737927700,257493,273670,22653,858,3744,TRUE,FALSE,FALSE,17,bot,train
u73650794,1350,1944,52266,175,4802,TRUE,FALSE,FALSE,13,human,train
u735385566,816,0,83384,35,3746,TRUE,FALSE,FALSE,14,bot,train
u73200610,1183964,52,9321,685,4804,TRUE,FALSE,TRUE,15,human,train
u731587116,1254,926,27207,6,3748,TRUE,FALSE,FALSE,5,human,train
u729101640,855,385,15432,1,3749,TRUE,FALSE,FALSE,7,human,train
u728638035986886656,4,2,3,0,2374,TRUE,FALSE,FALSE,14,human,train
u728249330,783,1682,12650,1,3749,TRUE,FALSE,FALSE,5,bot,train
u727019388,1078,565,78916,30,3750,TRUE,FALSE,FALSE,8,bot,train
u726969781,99948,2016,48314,74,3750,TRUE,FALSE,FALSE,19,human,train
u724659744,972,224,25489,3,3751,TRUE,FALSE,FALSE,6,human,train
u72047325,1040549,1105,15496,2220,4808,TRUE,FALSE,TRUE,12,human,train
u720183165,193622,133417,628532,828,3305,TRUE,FALSE,FALSE,27,bot,train
u71783170,1701884,18377,6673,987,4809,TRUE,FALSE,FALSE,12,human,train
u717313,1170497,1113,97313,29281,5760,TRUE,FALSE,TRUE,12,bot,train
u717268808,81403,290,36999,44,3754,TRUE,FALSE,FALSE,8,human,train
u716433889,122816,122842,36496,85,3755,TRUE,FALSE,FALSE,4,bot,train
u716110115506622464,823,294,51368,5,2408,TRUE,FALSE,FALSE,11,human,train
u71515969,111103,19832,181849,518,4810,TRUE,FALSE,TRUE,13,bot,train
u71478395,934,926,211354,88,4810,TRUE,FALSE,FALSE,6,bot,train
u713337475,1936,2305,22113,1,3757,TRUE,FALSE,FALSE,14,bot,train
u713317677,89004,22649,32198,310,3310,TRUE,FALSE,FALSE,5,bot,train
u71319853,917,902,30686,11,4811,TRUE,FALSE,FALSE,13,human,train
u713184088719540224,4651,891,30576,8,2416,TRUE,FALSE,FALSE,6,human,train
u712443214112935936,1089,0,2176,4,2418,TRUE,FALSE,FALSE,13,human,train
u71225650,1313017,235,103821,818,4811,TRUE,FALSE,TRUE,7,bot,train
u71208005,171918,809,38608,808,4811,TRUE,FALSE,TRUE,15,bot,train
u711613560,1029,913,47246,4,3757,TRUE,FALSE,FALSE,22,human,train
u710772673,98574,169,13505,141,3758,TRUE,FALSE,FALSE,15,bot,train
u71023251,99098,443,44607,891,4812,TRUE,FALSE,FALSE,5,human,train
u71020190,1560,530,6275,49,4812,TRUE,FALSE,FALSE,11,bot,train
u710123736175783938,23148,1,1257235,7272,2425,TRUE,FALSE,FALSE,16,bot,train
u709876468617244673,180539,391,3988,70,2426,TRUE,FALSE,TRUE,11,human,train
u709807650,712,1653,54480,3,3758,TRUE,FALSE,FALSE,5,bot,train
u708014748,91584,62846,13508,70,3760,TRUE,FALSE,FALSE,8,human,train
u70726185,1483,2425,36450,33,4813,TRUE,FALSE,FALSE,17,human,train
u70683270,177302,11879,29096,2175,4813,TRUE,FALSE,TRUE,21,human,train
u706346715,784,1310,1125,0,3314,TRUE,FALSE,FALSE,14,human,train
u706253784,117049,455,57096,279,3760,TRUE,FALSE,FALSE,9,bot,train
u705936076565815297,801,1269,1191,0,2436,TRUE,FALSE,FALSE,10,human,train
u705846704,132806,492,44894,875,3761,TRUE,FALSE,TRUE,14,bot,train
u705187969,1094,36,621890,653,3761,TRUE,FALSE,FALSE,7,bot,train
u703515914524872705,5080,2378,25,8,2443,TRUE,FALSE,FALSE,7,bot,train
u701815436,589,39,282640,15,3763,TRUE,FALSE,FALSE,17,bot,train
u70179948,4052414,2789,22191,5200,4815,TRUE,FALSE,TRUE,16,human,train
u701615052,1926119,31,639338,3656,3763,TRUE,FALSE,TRUE,15,bot,train
u69675579,117148,36,187950,614,4817,TRUE,FALSE,FALSE,10,bot,train
u69451632,2542,1509,38455,11,4817,TRUE,FALSE,FALSE,11,human,train
u69183155,14907809,28,1426143,13330,4818,TRUE,FALSE,TRUE,8,bot,train
u69168087,1131906,585,8261,6019,4818,TRUE,FALSE,TRUE,16,human,train
u68795677,1083270,77,10045,4095,4820,TRUE,FALSE,TRUE,4,bot,train
u68638255,1249,1233,121277,74,4820,TRUE,FALSE,FALSE,12,human,train
u6825792,101139,4795,1484,2358,5622,TRUE,FALSE,TRUE,10,human,train
u6776102,167265,2536,30516,1261,5625,TRUE,FALSE,FALSE,8,bot,train
u67647998,1249,460,212256,65,4824,TRUE,FALSE,FALSE,4,human,train
u67145296,122908,1034,7987,301,4826,TRUE,FALSE,FALSE,17,human,train
u66926876,197479,1511,34129,252,4826,TRUE,FALSE,FALSE,16,human,train
u6690852,1059,19,1381204,60,5628,TRUE,FALSE,FALSE,11,bot,train
u66643428,953549,357,22514,302,4827,TRUE,FALSE,TRUE,10,human,train
u65773523,1228718,500,38800,3724,4830,TRUE,FALSE,TRUE,13,human,train
u65477786,157079,14655,104917,219,4832,TRUE,FALSE,FALSE,20,human,train
u64526820,114432,607,105281,884,4835,TRUE,FALSE,TRUE,16,human,train
u64419705,1828366,54121,231392,4692,4835,TRUE,FALSE,TRUE,13,bot,train
u63805938,145257,1173,155176,1800,4838,TRUE,FALSE,TRUE,17,bot,train
u63677189,1035857,699,25044,2976,4838,TRUE,FALSE,TRUE,6,human,train
u63604508,1123,1090,27342,8,4838,TRUE,FALSE,FALSE,3,human,train
u63375729,910205,38142,72647,1781,4839,TRUE,FALSE,FALSE,15,bot,train
u628982536,1150,806,22456,0,3773,TRUE,FALSE,FALSE,15,human,train
u628971327,899,194,38585,11,3773,TRUE,FALSE,FALSE,6,human,train
u628187173,1651087,12,544,94,3774,TRUE,FALSE,FALSE,16,human,train
u625458452,1279,1674,83740,17,3777,TRUE,FALSE,FALSE,4,bot,train
u624995677,1456793,2669,28646,2917,3778,TRUE,FALSE,FALSE,10,bot,train
u624818975,1163,333,13556,0,3778,TRUE,FALSE,FALSE,9,human,train
u624517612,2150423,84,10368,936,3778,TRUE,FALSE,TRUE,15,human,train
u62352806,913895,253,14089,5572,4843,TRUE,FALSE,TRUE,14,human,train
u623422330,1337,844,179119,0,3779,TRUE,FALSE,FALSE,12,bot,train
u622143,176975,230,140632,1122,5778,TRUE,FALSE,TRUE,17,bot,train
u62159419,105321,88844,372745,1143,4843,TRUE,FALSE,FALSE,13,bot,train
u621100382,1510,798,21601,0,3782,TRUE,FALSE,FALSE,8,human,train
u62100113,2444970,847,19402,3241,4844,TRUE,FALSE,TRUE,18,human,train
u620977821,190376,3891,1101318,227,3782,TRUE,FALSE,TRUE,8,bot,train
u619465123,99528,3901,217432,272,3784,TRUE,FALSE,FALSE,11,bot,train
u61714263,1070,465,19677,4,4845,TRUE,FALSE,FALSE,6,human,train
u61710647,165215,864,8076,380,4845,TRUE,FALSE,TRUE,7,bot,train
u616400256,114833,378,38089,62,3787,TRUE,FALSE,TRUE,8,human,train
u61484151,790829,320,298,4406,4846,TRUE,FALSE,TRUE,8,human,train
u614754689,1758304,490,55243,2887,3788,TRUE,FALSE,TRUE,10,bot,train
u613512037,121500,346,21246,532,3790,TRUE,FALSE,FALSE,15,human,train
u613508372,1220871,171,9616,565,3790,TRUE,FALSE,FALSE,18,human,train
u61314535,435843,788,19058,1441,4847,TRUE,FALSE,FALSE,19,human,train
u610628629,70614,2140,11029,35,3793,TRUE,FALSE,FALSE,11,bot,train
u60851517,108697,30302,72968,1612,4848,TRUE,FALSE,TRUE,4,bot,train
u608171108,1002,1126,27601,26,3796,TRUE,FALSE,FALSE,8,bot,train
u60817022,144620,346,181612,129,4848,TRUE,FALSE,FALSE,21,bot,train
u608080265,912,150,44230,1,3796,TRUE,FALSE,FALSE,5,human,train
u606585417,95623,568,21184,358,3798,TRUE,FALSE,FALSE,12,human,train
u606522136,75132,5111,89846,927,3798,TRUE,FALSE,FALSE,9,human,train
u605805760,1091522,752,97593,3487,3799,TRUE,FALSE,TRUE,7,bot,train
u605460099,278749,249779,65240,313,3799,TRUE,FALSE,FALSE,1,human,train
u604842260,1218,550,17346,1,3800,TRUE,FALSE,FALSE,7,human,train
u601341785,126570,54593,603040,220,3804,TRUE,FALSE,TRUE,14,bot,train
u60112031,24451,21258,3370,62,4851,TRUE,FALSE,FALSE,11,human,train
u600499984,35426,1470,112973,232,3805,TRUE,FALSE,FALSE,7,bot,train
u59985934,207868,44,405220,0,4851,TRUE,FALSE,FALSE,11,bot,train
u5988062,23543347,0,163622,112401,5656,TRUE,FALSE,TRUE,13,bot,train
u597878828,90453,87694,16564,34,3807,TRUE,FALSE,FALSE,20,human,train
u59399268,1143706,5268,17838,1473,4853,TRUE,FALSE,TRUE,9,human,train
u59329469,113972,2,66612,8733,4853,TRUE,FALSE,FALSE,9,bot,train
u592981251,136464,73,63229,386,3813,TRUE,FALSE,TRUE,18,bot,train
u59199168,956794,719,4408,6225,4854,TRUE,FALSE,TRUE,15,human,train
u591612748,195262,349,18056,1329,3814,TRUE,FALSE,TRUE,16,human,train
u590316679,124942,5847,172658,2798,3816,TRUE,FALSE,TRUE,9,bot,train
u588630461,47451,103744,1675,36,3818,TRUE,FALSE,FALSE,10,human,train
u587526194,1938,1985,42683,129,3819,TRUE,FALSE,FALSE,17,bot,train
u587381681,898,2,31837,3,3819,TRUE,FALSE,FALSE,15,bot,train
u587364967,900,865,4623,0,3819,TRUE,FALSE,FALSE,18,bot,train
u58560480,663385,3194,4172,3797,4856,TRUE,FALSE,TRUE,12,human,train
u580525442,1122,930,35266,2,3826,TRUE,FALSE,FALSE,1,human,train
u580089228,112618,5055,208664,408,3827,TRUE,FALSE,TRUE,6,human,train
u579935321,1637,964,65203,39,3827,TRUE,FALSE,FALSE,15,human,train
u579380239,62876,69434,96296,246,3828,TRUE,FALSE,FALSE,14,bot,train
u579307831,1232,583,20888,11,3828,TRUE,FALSE,FALSE,5,human,train
u577655361,922,790,79193,4,3829,TRUE,FALSE,FALSE,3,human,train
u5763262,1280304,1676,113418,14982,5664,TRUE,FALSE,TRUE,12,human,train
u575704180,89491,55315,109035,138,3832,TRUE,FALSE,FALSE,11,bot,train
u574168493,1363589,184,4239,5721,3833,TRUE,FALSE,TRUE,13,human,train
u57339160,198552,620,78596,1721,4860,TRUE,FALSE,TRUE,11,bot,train
u572195697,112644,3777,99029,133,3836,TRUE,FALSE,FALSE,20,human,train
u57083275,1110506,56,90143,3730,4861,TRUE,FALSE,TRUE,20,human,train
u569704121,117030,98061,379092,323,3838,TRUE,FALSE,FALSE,19,bot,train
u567373425,103351,10,69055,178,3841,TRUE,FALSE,FALSE,9,bot,train
u566680694,1129397,448,7889,870,3842,TRUE,FALSE,TRUE,13,human,train
u5649672,1257821,7,152481,22155,5668,TRUE,FALSE,TRUE,6,bot,train
u564631124,112376,3269,70671,623,3844,TRUE,FALSE,FALSE,30,bot,train
u564474061,167443,1679,230532,914,3844,TRUE,FALSE,FALSE,10,bot,train
u564109899,945,595,21937,10,3845,TRUE,FALSE,FALSE,4,bot,train
u562696581,67096,10647,14597,883,3846,TRUE,FALSE,FALSE,6,human,train
u56246250,22252,6989,323315,215,4863,TRUE,FALSE,FALSE,5,bot,train
u562445678,300071,230,35981,202,3846,TRUE,FALSE,FALSE,13,human,train
u5611312,901,1394,11498,6,5670,TRUE,FALSE,FALSE,16,bot,train
u55947313,1724950,144,34862,2872,4865,TRUE,FALSE,TRUE,14,bot,train
u558215877,928,1166,79048,43,3852,TRUE,FALSE,FALSE,13,bot,train
u55747577,2264,632,76070,44,4865,TRUE,FALSE,FALSE,9,bot,train
u55631242,1138498,714,14662,3744,4866,TRUE,FALSE,TRUE,15,human,train
u555862555,83031,77394,6074,20,3854,TRUE,FALSE,FALSE,13,human,train
u55432787,127693,17153,86301,1091,4866,TRUE,FALSE,TRUE,13,bot,train
u553094706,139470,831,23082,194,3858,TRUE,FALSE,FALSE,16,human,train
u55307193,1130781,171,15876,15767,4867,TRUE,FALSE,TRUE,10,bot,train
u552725164,752789,269663,34483,431,3858,TRUE,FALSE,FALSE,12,human,train
u551984787,124912,3399,169232,731,3859,TRUE,FALSE,FALSE,20,human,train
u55195136,117549,340,41905,265,4867,TRUE,FALSE,FALSE,10,human,train
u55176518,219699,8,144269,313,4867,TRUE,FALSE,TRUE,6,bot,train
